feature,psi,mean_trec,mean_pot,severity
url_length_max,1.7496025192609503,38.84125964930218,120.0359510022273,major
url_length_avg,1.3726049703518974,33.773911596625965,78.22855988625014,major
url_distinct_domains,0.8630031206675175,1.2412453351055672,2.2959910913140313,major
digit_count,0.7951030744526739,9.231685496651501,21.965701559020044,major
url_count,0.6965163560180989,3.9064465006901488,6.85011135857461,major
subject_length,0.529148948629293,50.73035632125147,58.32271714922049,major
uppercase_ratio,0.4905541232230931,0.18061967829293998,0.11187074823877492,major
subject_upper_ratio,0.48804902407934875,0.29144747919847896,0.2467527979485739,major
cue_total,0.19371987650773959,0.7459996932672154,1.232293986636971,moderate
url_subdom_avg,0.18655236151743976,0.7636039212345995,0.7128228199403118,moderate
body_length,0.14750254949112618,1139.5833290731557,1084.3634743875277,moderate
url_subdom_max,0.09699014254296376,0.8730637492970708,1.1247216035634744,none
punct_density,0.03493811737039542,0.005500236615781245,0.004587384944133365,none
attachment_count,0.0,0.001712591380808752,0.07060133630289532,none
html_flag,0.0,0.6963089821583763,0.9429844097995546,none
currency_flag,0.0,0.11924237002198251,0.2951002227171492,none
url_has_ip,0.0,0.012167067123357701,0.06302895322939867,none
url_shortener,0.0,0.05071315372424723,0.20400890868596883,none
url_punycode,0.0,0.0,0.0,none
url_at_symbol,0.0,0.0,0.0,none
url_https_ratio,0.0,0.0021534821660585345,0.603218317642012,none
